Full_Name,Email,Age,Region,Salary,City
ANNa SmITh,anna.smith_9830@example.com,30,North,58422,Bangalore
Jane SmiTH,jane.smith_2844@example.com,42,East,35189,Mumbai
John GArcIa,john.garcia_5935@example.com,56,North,63728,Berlin
joHn WiLlIAmS,john.williams_3284@example.com,49,East,57949,London
emily MILleR,emily.miller_6919@example.com,33,East,46233,Berlin
ANnA gARcIA,anna.garcia_7891@example.com,38,South,40883,Berlin
ANna jOhnSon,anna.johnson_9604@example.com,18,East,99309,Bangalore
aLICe sMItH,alice.smith_8447@example.com,35,North,114256,Tokyo
cHrIs jONEs,chris.jones_4233@example.com,26,North,40478,Sydney
JANe SMiTH,jane.smith_1836@example.com,38,East,104662,Tokyo
AnNa bRoWn,anna.brown_8793@example.com,31,North,118163,Sydney
JaNE jOhNSon,jane.johnson_3448@example.com,45,West,90693,Berlin
JAnE jonES,jane.jones_7464@example.com,21,,"$62,913",Bangalore
BOB gaRcIA,bob.garcia_8840@example.com,26 years,East,91975,Berlin
jaNE dAviS,jane.davis_1456@example.com,51,West,103009,London
emILy GArcIA,emily.garcia_2595@example.com,32,North,64927,Bangalore
JOhN MILLer,john.miller_1910@example.com,21,North,102511,Mumbai
EmIly milLER,emily.miller_2233@example.com,41,,80011,Mumbai
AliCE WiLliaMS,alice.williams_3826@example.com,42 years,West,91644,Toronto
ChrIs SMiTh,chris.smith_2347@example.com,50 years,South,82474,New York
JOHn MiLleR,john.miller_4695@example.com,23,West,37429,Berlin
jANE joNES,jane.jones_2476@example.com,51,,"$77,654",Toronto
JOHn MILLeR,john.miller_8575@example.com,39,East,109769,Tokyo
JaNe SMiTh,jane.smith_1341@example.com,31,North,"$119,611",Mumbai
bob WiLLiAMS,bob.williams_4608@example.com,51,North,66975,Berlin
cHRIs DaVIs,chris.davis_7408@example.com,52,South,57557,New York
mIKe jOHNsOn,mike.johnson_9837@example.com,48,North,118999,Mumbai
jOhn MILLER,john.miller_1177@example.com,20,North,"$41,067",Tokyo
alICE wILlIams,alice.williams_7854@example.com,25,West,119117,Toronto
bob daVis,bob.davis_1647@example.com,46,,37896,New York
bob smitH,bob.smith_5174@example.com,50,East,112448,Tokyo
aliCe GaRCiA,alice.garcia_4970@example.com,58,West,41682,New York
JANE milleR,jane.miller_4252@example.com,31,,76753,Tokyo
Anna wILLIams,anna.williams_4987@example.com,46,South,"$35,504",Berlin
jane davis,jane.davis_5817@example.com,35,West,51988,New York
emily smiTH,emily.smith_1207@example.com,28,East,116679 USD,Toronto
anNA BROWn,anna.brown_4458@example.com,48,South,95818,Bangalore
mIke JoHnSon,mike.johnson_6473@example.com,18,North,51068,Mumbai
annA wIlliAms,anna.williams_2937@example.com,27,South,67703,Berlin
mIKe dAviS,mike.davis_7558@example.com,32,North,83099,Toronto
jANe SMiTH,jane.smith_4174@example.com,23,,85054,Toronto
cHriS daVIs,chris.davis_3702@example.com,56,North,111760,Mumbai
JoHN mILlEr,john.miller_9429@example.com,29,East,116244,London
ChRIS MIllER,chris.miller_6673@example.com,50,East,111491,Mumbai
ALiCe JoHnSOn,alice.johnson_9764@example.com,51,,66147,Sydney
mike smiTh,mike.smith_1630@example.com,35,West,85196,Tokyo
anna jOhnson,anna.johnson_4200@example.com,36 years,,52201,Bangalore
miKE jOhNSoN,mike.johnson_4293@example.com,42,South,31935 USD,New York
aLIcE mIlLER,alice.miller_5425@example.com,35,West,89948,Sydney
aNna jones,anna.jones_3210@example.com,34,West,115835,Sydney
AliCE WiLliAms,alice.williams_2787@example.com,37,South,78569,London
JanE WIlliamS,jane.williams_7725@example.com,53,West,84015,Sydney
bOB GarCIA,bob.garcia_3936@example.com,44,,105889,Bangalore
Bob JOhnsoN,bob.johnson_7091@example.com,38,West,"$107,941",Berlin
BoB GaRCIa,bob.garcia_9514@example.com,40,,56658 USD,London
aNna JOhNsON,anna.johnson_4864@example.com,18,South,100014,Bangalore
bOb JonEs,bob.jones_5923@example.com,42,West,68759,London
MIkE wilLiAms,mike.williams_8310@example.com,53,,50936,Bangalore
jane jONeS,jane.jones_7135@example.com,50,South,95673,New York
aLiCE GArcIA,alice.garcia_9884@example.com,35,West,99820,New York
aLice sMItH,alice.smith_9281@example.com,45,West,45743,London
annA GArcIa,anna.garcia_5995@example.com,45,,35353 USD,Toronto
Bob wIlliamS,bob.williams_9918@example.com,25,West,85442,London
